ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,price,label
2020-06-22,11472.405018321251,11298.756275698343,11664.725903910978,11472.405018321251,11472.405018321251,9.567232401563539,9.567232401563539,9.567232401563539,14.318244215351083,14.318244215351083,14.318244215351083,-4.751011813787544,-4.751011813787544,-4.751011813787544,0.0,0.0,0.0,11481.972250722814,11450.0,Actual
2020-06-23,11473.952426892283,11316.918507400751,11655.794229133748,11473.952426892283,11473.952426892283,8.780291990976783,8.780291990976783,8.780291990976783,10.54063214110734,10.54063214110734,10.54063214110734,-1.7603401501305551,-1.7603401501305551,-1.7603401501305551,0.0,0.0,0.0,11482.73271888326,11450.0,Actual
2020-06-24,11475.499835463317,11316.743769943276,11668.620127445092,11475.499835463317,11475.499835463317,20.422359323703738,20.422359323703738,20.422359323703738,19.019696969972596,19.019696969972596,19.019696969972596,1.402662353731144,1.402662353731144,1.402662353731144,0.0,0.0,0.0,11495.922194787021,11450.0,Actual
2020-06-25,11477.04724403435,11321.829364165198,11670.362325822607,11477.04724403435,11477.04724403435,21.652903868805637,21.652903868805637,21.652903868805637,16.97780315002852,16.97780315002852,16.97780315002852,4.675100718777114,4.675100718777114,4.675100718777114,0.0,0.0,0.0,11498.700147903155,11500.0,Actual
2020-06-26,11478.594652605383,11309.30570264294,11659.258178157334,11478.594652605383,11478.594652605383,8.277206571467506,8.277206571467506,8.277206571467506,0.28276570432984843,0.28276570432984843,0.28276570432984843,7.994440867137658,7.994440867137658,7.994440867137658,0.0,0.0,0.0,11486.87185917685,11450.0,Actual
2020-06-29,11483.236878318481,11337.191378752457,11693.950815611732,11483.236878318481,11483.236878318481,31.9531763527187,31.9531763527187,31.9531763527187,14.318244215371925,14.318244215371925,14.318244215371925,17.634932137346777,17.634932137346777,17.634932137346777,0.0,0.0,0.0,11515.1900546712,11450.0,Actual
2020-06-30,11484.784286889515,11348.123272169742,11705.623237280246,11484.784286889515,11484.784286889515,31.09833490960494,31.09833490960494,31.09833490960494,10.540632141096033,10.540632141096033,10.540632141096033,20.55770276850891,20.55770276850891,20.55770276850891,0.0,0.0,0.0,11515.882621799119,11500.0,Actual
2020-07-01,11486.331695460547,11364.908165254346,11697.603969942847,11486.331695460547,11486.331695460547,42.27215497162703,42.27215497162703,42.27215497162703,19.019696969952395,19.019696969952395,19.019696969952395,23.252458001674636,23.252458001674636,23.252458001674636,0.0,0.0,0.0,11528.603850432173,11450.0,Actual
2020-07-02,11487.879104031581,11360.04144225648,11715.6546625845,11487.879104031581,11487.879104031581,42.654366551254384,42.654366551254384,42.654366551254384,16.977803150036948,16.977803150036948,16.977803150036948,25.676563401217443,25.676563401217443,25.676563401217443,0.0,0.0,0.0,11530.533470582835,11500.0,Actual
2020-07-03,11489.426512602615,11337.8378239867,11678.791970943224,11489.426512602615,11489.426512602615,28.075268201273037,28.075268201273037,28.075268201273037,0.2827657043385704,0.2827657043385704,0.2827657043385704,27.792502496934464,27.792502496934464,27.792502496934464,0.0,0.0,0.0,11517.501780803888,11450.0,Actual
